STD_ID,   number,Пол,Статус,Дата выпуска,Категория обучения,Форма обучения,Шифр,направление (специальность),   ,Образование,Дата выдачи,Что именно закончил
170345,627.0,М,СТ,,ДОГ,З,15.03.06,Мехатроника и робототехника,10417.0,СП,2016-07-01 00:00:00,Старорусский политехнический колледж
170373,364.0,М,СТ,,ДОГ,З,13.03.01,Теплоэнергетика и теплотехника,913.0,СР,2010-06-23 00:00:00,"СРЕДНЯЯ ШКОЛА N  13, НОВГОРОД"
170373,364.0,М,СТ,,ДОГ,З,13.03.01,Теплоэнергетика и теплотехника,5180.0,СП,2015-06-26 00:00:00,"КОЛЛЕДЖ СТРОИТЕЛЬСТВА, ПРЕДПРИНИМАТЕЛЬСТВА И ПРАВА г.В.Новгород"
100693,953.0,М,СТ,,ДОГ,З,37.03.01,Психология,2511.0,СР,2013-06-22 00:00:00,"СРЕДНЯЯ ШКОЛА N  33, НОВГОРОД"
170591,965.0,Ж,СТ,,ДОГ,З,37.03.01,Психология,8811.0,СР,2009-06-20 00:00:00,МОУ СОШ п.Батецкий
170591,965.0,Ж,СТ,,ДОГ,З,37.03.01,Психология,10241.0,СП,2011-06-24 00:00:00,НОВГОРОДСКИЙ АГРОТЕХНИЧЕСКИЙ ТЕХНИКУМ
170470,2290.0,М,СТ,,ДОГ,З,11.03.03,Конструирование и технология электронных средств,10014.0,СП,2014-06-27 00:00:00,ГУНПО технологический профессиональный лицей
170669,2401.0,Ж,СТ,,ДОГ,З,44.03.03,Специальное (дефектологическое) образование,10090.0,СП,2005-07-01 00:00:00,Старорусский политехнический колледж
164772,3652.0,Ж,СТ,,ДОГ,Д,31.05.01,Лечебное дело,5263.0,СР,2016-06-24 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
161056,3428.0,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,5085.0,СР,2016-06-23 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
161108,3539.0,М,СТ,,БП,Д,31.05.01,Лечебное дело,5176.0,СР,2016-06-22 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
164800,3174.0,Ж,СТ,,ДОГ,Д,31.05.01,Лечебное дело,5065.0,СР,2016-06-23 00:00:00,"СРЕДНЯЯ ШКОЛА N  13, НОВГОРОД"
165305,2645.0,М,СТ,,ДОГ,Д,31.05.01,Лечебное дело,4762.0,СР,2015-01-07 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
164818,3351.0,М,СТ,,ДОГ,Д,31.05.01,Лечебное дело,5226.0,СР,2016-06-24 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
165281,2612.0,Ж,СТ,,ДОГ,Д,31.05.01,Лечебное дело,4610.0,СР,2015-01-12 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
165296,2636.0,М,СТ,,ДОГ,Д,31.05.01,Лечебное дело,4754.0,СР,2015-03-13 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
165304,2644.0,Ж,СТ,,ДОГ,Д,31.05.01,Лечебное дело,4761.0,СР,2014-12-22 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
165351,2594.0,Ж,СТ,,ДОГ,Д,33.05.01,Фармация,4560.0,СР,2015-06-23 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
